,Squared_loadings,Attributes
30,0.9443161804248863,day_of_week
11,0.8952044593540552,was_vehicle_left_hand_drive?
44,0.7833789093404361,carriageway_hazards
4,0.7532088744628812,vehicle_location-restricted_lane
33,0.7492402178569315,1st_road_number
38,0.727576922661208,pedestrian_crossing-human_control
20,0.6916619097519877,NUmber_of_Casualities_unique_to_accident_index
29,0.6916619097519877,number_of_casualties
34,0.6814468360055168,road_type
5,0.6673375568851155,junction_location
36,0.659719458756869,junction_detail
41,0.6583364059836506,weather_conditions
31,0.6518988053857019,local_authority_(district)
26,0.6478990331581826,police_force
25,0.64690193066965,latitude
18,0.6416131867839862,age_of_vehicle
23,0.6409473401004065,location_northing_osgr
10,0.6377247383008345,1st_point_of_impact
37,0.6310534048413733,2nd_road_number
42,0.630599007367359,road_surface_conditions
17,0.6101151941155994,propulsion_code
15,0.6087669914342951,age_band_of_driver
7,0.6046454530575407,hit_object_in_carriageway
14,0.5917048020652638,age_of_driver
32,0.5854108663049462,1st_road_class
22,0.584795909268125,location_easting_osgr
28,0.5840557722085132,number_of_vehicles
21,0.5840557722085132,No_of_Vehicles_involved_unique_to_accident_index
1,0.5839542343398968,vehicle_type
24,0.5827964495680572,longitude
16,0.5804610572783657,engine_capacity_(cc)
8,0.568787396841599,vehicle_leaving_carriageway
12,0.5673346581658525,journey_purpose_of_driver
39,0.5658510435414317,pedestrian_crossing-physical_facilities
9,0.5644009658318743,hit_object_off_carriageway
35,0.5598721704580694,speed_limit
2,0.5431629146669665,towing_and_articulation
40,0.5431523420794493,light_conditions
45,0.5367248810029561,urban_or_rural_area
3,0.5212878999412496,vehicle_manoeuvre
0,0.5135173605857823,vehicle_reference
46,0.4841801051200668,did_police_officer_attend_scene_of_accident
13,0.4591933266493163,sex_of_driver
27,0.4523672803260782,accident_severity
43,0.4243569290929684,special_conditions_at_site
19,0.41876599670600867,driver_home_area_type
6,0.39005292551084597,skidding_and_overturning
