count,day_of_week,was_vehicle_left_hand_drive?,carriageway_hazards
55740,5,2,1
71471,6,2,1
99364,5,2,1
123460,6,2,1
86122,6,2,1
147098,3,2,1
55650,2,2,1
56349,4,2,1
294,7,2,1
116643,5,2,1
125564,7,2,1
114652,6,2,1
130494,3,2,1
124385,3,2,1
125701,4,2,1
128938,3,2,1
68616,4,2,1
85295,8,2,1
61171,5,2,1
65193,6,2,1
85727,6,2,1
95456,3,2,1
58338,3,2,1
153131,6,2,1
111804,5,2,1
95490,6,2,1
156704,5,2,8
131788,5,2,1
257746,8,2,1
140010,6,2,1
141276,6,2,1
147636,7,2,1
153399,3,2,1
51877,3,2,1
145778,4,2,1
64795,4,3,1
1361,5,2,1
154855,4,2,1
58548,7,2,1
146951,3,2,1
119212,7,2,1
142959,2,2,1
139124,2,2,8
137944,8,2,1
121154,7,2,1
112910,4,2,1
98382,4,2,1
100859,5,2,1
97545,8,2,1
92897,6,2,1
92007,3,2,3
67593,7,2,1
70545,6,2,1
62971,5,2,1
131628,2,2,1
107167,4,2,1
139315,4,2,1
72969,8,2,1
142459,7,2,1
59485,5,2,1
145362,7,2,1
87965,3,2,1
67791,3,2,1
65874,7,2,1
66829,4,2,1
54682,7,2,1
149643,7,2,1
103278,8,2,1
145517,3,2,1
105087,5,2,1
152565,4,2,1
112787,8,2,1
157548,6,2,1
88771,4,2,1
52996,6,2,1
98843,3,2,1
94733,2,2,1
122681,7,2,1
111764,7,2,1
72997,4,2,1
99219,7,2,1
137239,3,2,1
74676,4,2,1
128225,5,2,1
107174,5,2,1
75538,2,2,1
108655,2,2,1
159883,8,2,1
74582,2,2,1
84961,8,2,1
62764,7,2,1
137137,4,2,1
117723,7,2,1
71526,4,2,1
106696,6,2,1
138584,6,2,1
87064,5,2,1
138782,5,2,1
154535,5,2,1
142586,3,2,1
110029,8,2,1
102555,6,2,1
84251,6,2,1
95865,6,2,1
118314,6,2,1
67936,6,2,1
154820,3,2,1
129520,4,2,1
111092,2,2,1
109729,7,2,1
94247,5,2,1
120937,7,2,1
100218,6,2,1
65703,5,2,1
55362,3,2,1
58223,7,2,1
112561,8,2,1
60861,6,2,1
126955,4,2,1
943,8,2,1
56522,5,2,1
92284,6,2,1
158790,3,2,1
58545,6,2,1
146277,7,2,1
1521,8,2,1
117159,8,2,1
116390,7,2,1
113955,7,2,1
60008,3,2,1
141817,2,2,1
63635,5,2,1
156993,6,2,1
155440,6,2,1
68607,4,2,1
71399,2,2,1
148158,6,2,1
105018,5,2,1
95197,4,2,1
2758,7,2,1
89867,5,2,1
155812,5,2,1
111908,7,2,1
113052,6,2,1
101041,5,2,1
98779,7,2,1
66038,2,2,1
133091,4,2,1
67491,2,2,1
143284,4,2,1
119997,6,2,1
124982,2,2,1
57158,8,2,1
141218,2,2,1
126105,7,2,1
59069,5,2,1
118777,3,2,1
140639,5,2,1
99788,8,2,1
108248,5,2,1
62705,5,2,1
149241,8,2,1
70107,3,2,1
258287,3,2,1
70172,5,2,1
109484,8,2,1
101526,8,2,1
108888,5,2,1
140449,2,2,1
146103,8,2,1
74654,3,2,1
131520,4,2,1
57376,4,2,1
115968,5,2,1
52228,8,2,1
90660,2,2,1
149674,5,2,1
75363,5,2,1
120784,5,2,1
116755,5,2,1
119382,6,2,1
118495,4,2,1
104084,5,2,1
154440,3,2,1
148459,8,2,1
130125,3,2,1
103689,6,2,1
91162,6,2,1
65484,7,2,1
54440,5,2,1
73087,2,2,1
2402,5,2,1
260276,4,2,1
258533,4,2,1
125776,4,2,1
69924,4,2,1
154656,4,2,1
63995,7,2,1
94220,4,2,1
139036,4,2,1
137764,5,2,1
119245,6,2,1
127190,6,2,1
69485,8,2,1
87195,8,2,1
100916,7,2,1
141198,4,2,1
121065,6,2,1
102794,4,2,1
55373,6,2,1
259305,8,2,1
151693,8,2,1
114951,4,2,1
103344,6,2,1
152465,5,2,1
91644,5,2,1
68377,3,2,1
55170,2,2,1
115543,7,2,1
133341,7,2,1
118348,4,2,1
57628,2,2,1
104897,2,2,1
103872,4,2,1
98239,7,2,1
113746,5,2,1
153662,6,2,1
107034,5,2,1
128501,4,2,1
105349,5,2,1
150826,3,2,1
61856,8,2,1
126325,8,2,1
150562,4,2,1
145348,7,2,1
137199,8,2,1
150399,5,2,7
93281,4,2,1
71630,5,2,1
146061,5,2,1
144200,3,2,1
137931,2,2,1
62835,7,2,1
105681,2,2,1
258369,4,2,1
91817,3,2,1
149105,8,2,1
94577,4,2,1
121817,7,2,1
139497,8,2,1
129276,7,2,1
143377,4,2,1
116992,4,2,1
114375,7,2,1
140272,4,2,1
101693,8,2,1
122071,2,2,1
110860,4,2,1
99372,5,2,1
146239,3,2,1
85258,4,2,1
144606,4,2,1
99022,8,2,1
109282,4,2,1
89860,5,2,1
57813,4,2,1
122984,8,2,1
61194,6,2,1
87286,7,2,1
130137,6,2,1
54173,3,2,1
142602,5,2,1
86993,6,2,1
68315,6,2,1
148296,4,2,1
120519,3,2,1
69571,3,2,1
100856,5,2,1
96194,2,2,1
63598,5,2,1
145279,4,2,1
111109,2,2,1
64379,3,2,1
62603,5,2,1
143422,7,2,1
134259,4,2,1
1925,2,2,1
56933,3,2,1
127136,2,2,1
158771,3,2,1
134072,7,2,1
120743,5,2,1
158759,5,2,1
67432,3,2,1
1377,5,2,1
150929,4,2,1
106227,8,2,1
55104,4,2,1
108058,6,2,1
94436,4,2,1
1686,2,2,1
91121,4,2,1
62916,7,2,1
96969,4,2,1
127169,7,2,1
116266,2,2,1
104981,7,2,1
259278,4,2,1
112313,6,2,1
57834,4,2,1
118265,4,2,1
122534,8,2,1
98026,8,2,1
74237,3,2,1
136209,4,2,1
90549,4,2,1
88113,3,2,1
85314,3,2,1
131702,6,2,1
140800,8,2,1
104090,6,2,1
65847,6,2,1
141822,2,2,1
91872,5,2,1
143227,6,2,1
138638,6,2,1
99583,6,2,1
73297,7,2,1
114900,7,2,1
63765,7,2,1
53863,8,2,1
104673,6,2,1
107355,3,2,1
84656,6,2,1
73386,6,2,1
146113,3,2,1
97976,7,2,1
151001,6,2,1
115422,2,2,1
96105,6,2,1
64862,5,2,1
126084,7,2,1
66136,6,2,1
128671,2,2,1
120858,8,2,1
71289,2,2,1
155737,4,2,1
148526,8,2,1
56625,7,2,1
147112,5,2,1
106956,7,2,1
90860,4,2,1
89638,4,2,1
96470,3,2,1
116410,4,2,1
55693,3,2,1
126227,4,2,1
101871,6,2,3
113444,7,2,1
54460,2,2,1
137650,2,2,1
258598,5,2,1
85317,3,2,1
91581,2,2,1
106652,4,2,1
104278,5,2,1
126085,7,2,1
123540,8,2,1
102357,4,2,1
156748,3,2,4
90442,7,2,1
118485,3,2,1
148789,3,2,1
121244,5,2,1
154020,3,2,1
148635,3,2,1
124356,6,2,1
102836,7,2,1
93773,4,2,1
70556,6,3,1
104790,6,2,1
130534,4,2,1
118223,7,2,1
67527,8,2,1
259580,3,2,1
86045,6,2,1
131715,7,2,1
139353,3,2,1
125008,7,2,1
128167,4,2,1
151069,4,2,1
86855,3,2,1
87740,6,2,1
91829,4,2,1
55854,8,2,1
100013,3,2,1
103441,3,2,1
144081,5,2,1
133185,6,2,1
86271,3,2,1
93386,7,2,1
75430,2,2,1
95180,3,2,1
138276,6,2,1
98638,3,2,1
1501,8,2,1
127981,3,2,1
158458,7,2,1
130768,5,2,1
111783,3,2,1
1699,8,2,1
117651,7,2,1
116869,2,2,1
258011,7,2,1
109042,3,2,1
64936,6,2,1
129260,8,2,1
122113,8,2,1
142095,4,2,1
117416,6,2,1
66957,5,2,1
108724,2,2,1
87447,8,2,1
144251,4,2,1
152995,2,2,1
146863,8,2,1
65171,5,2,1
93000,3,2,1
137811,3,2,1
93924,7,2,1
137658,5,2,1
143067,3,2,1
143411,7,2,1
156063,2,2,1
95927,8,2,1
139407,5,2,1
144621,3,2,1
115974,2,2,1
132805,6,2,1
116950,3,2,1
155823,2,2,1
259083,8,2,1
128949,7,2,1
110651,7,2,1
56883,4,2,1
64281,6,2,1
100400,5,2,1
158176,6,2,1
64317,3,2,1
145546,5,2,1
113046,6,2,1
71606,4,2,1
117766,7,2,1
124996,5,2,1
85886,2,2,1
153071,4,2,1
153512,5,2,1
117115,2,2,1
112687,5,2,1
149143,3,2,1
156182,3,2,1
63909,7,2,1
117609,6,2,1
102381,8,2,1
105698,8,2,1
92210,4,2,1
56296,4,2,1
67387,6,2,1
155066,8,2,1
156611,8,2,1
141269,5,2,1
127123,2,2,1
61348,5,2,1
75395,6,2,1
116309,4,2,1
128586,3,2,1
102846,3,2,1
120921,7,2,1
74177,6,2,1
127480,6,2,1
106705,2,2,1
135871,4,2,1
71275,8,2,3
133234,8,2,1
73390,7,2,1
127748,2,2,1
103348,8,2,1
158292,7,2,1
127095,4,2,1
93237,3,2,1
123666,5,2,1
121404,2,2,1
74510,4,2,1
148703,4,2,1
131519,3,2,1
132215,2,2,1
97463,5,2,1
66548,3,2,1
154568,3,2,1
151714,7,2,1
135370,6,2,1
138607,4,2,1
257887,5,2,1
149237,5,2,1
155764,7,2,1
90066,5,2,1
87166,6,2,1
258916,2,2,1
121915,7,2,1
68172,5,3,1
114889,8,2,1
118095,7,2,1
107451,5,2,1
69118,3,2,1
72975,2,2,1
123691,6,2,1
108574,3,2,1
127907,7,2,0
944,8,2,1
85922,4,2,1
93548,4,2,1
93567,5,2,1
2950,8,2,1
68850,8,2,1
121225,6,2,1
154829,8,2,1
113572,6,2,1
112897,6,2,1
258993,3,2,1
59635,8,2,1
1683,7,2,3
85908,4,2,1
117013,3,2,1
88085,8,2,1
129215,7,2,1
70071,6,2,1
54435,6,2,1
260317,8,2,1
117633,2,2,1
126634,4,2,1
153810,3,2,1
86132,7,2,1
73564,6,2,1
101362,4,2,1
90046,5,2,1
70381,4,2,1
96489,4,2,1
114792,3,2,1
74836,8,2,1
65635,8,2,1
94866,6,2,1
63608,6,2,1
62915,7,2,1
93120,6,2,1
75381,6,2,1
2844,8,2,1
113411,5,2,1
124300,4,2,1
133559,5,2,1
258493,5,2,1
132432,4,2,1
107363,7,2,1
72672,5,2,1
100136,4,2,1
148748,4,2,1
119872,2,2,1
63480,5,2,1
75517,8,2,4
90223,6,2,1
123234,4,2,1
143549,4,2,1
152368,5,2,1
114254,2,2,1
107531,2,2,1
136276,5,2,1
74217,8,2,1
119757,5,2,1
86369,3,2,1
99376,5,2,1
89950,8,2,1
62433,4,2,1
113691,7,2,1
88217,2,2,1
148248,7,2,1
260150,6,2,1
60150,2,2,1
258597,5,2,1
106806,6,2,1
156323,4,2,1
59120,2,2,1
116341,7,2,1
143557,5,2,1
54421,5,2,1
62172,8,2,1
153881,2,2,1
125009,3,2,1
131015,8,2,1
153499,4,2,1
134088,4,2,1
72657,4,2,1
88778,6,2,1
83993,4,2,1
68108,4,2,1
87147,5,2,1
58991,3,2,1
58030,3,2,1
152456,4,2,1
128107,2,2,1
125253,4,2,1
70334,6,2,1
140249,8,2,1
54820,8,2,1
51504,6,2,1
89110,5,2,1
260265,3,2,1
137901,8,2,1
75320,8,2,1
156795,7,2,1
89466,5,2,1
148155,2,2,1
89723,7,2,1
87832,6,2,1
64610,2,2,1
111517,6,2,1
65379,8,2,1
70288,5,2,1
107089,2,2,1
2166,7,2,1
67030,2,2,1
84824,3,2,1
57595,5,2,1
62703,6,2,1
126651,6,2,1
133251,8,2,1
56429,3,2,1
151242,8,2,1
95140,8,2,1
120171,8,2,1
99941,3,2,1
128599,4,2,0
258529,3,2,1
51560,4,2,1
260253,8,2,1
100603,6,2,1
108231,7,2,1
143779,7,2,1
99472,8,2,1
144700,2,2,1
101659,2,2,1
144372,5,2,1
135924,7,2,1
74744,6,2,1
123589,2,2,1
258366,4,2,1
133857,4,2,1
108770,8,2,1
125084,2,2,1
141989,8,2,1
62784,4,2,1
62300,2,2,1
86069,2,2,1
132960,8,2,1
67576,3,2,1
152376,6,2,1
268882,6,2,1
97662,5,2,1
63196,6,2,1
152131,4,2,1
141334,7,2,1
158632,2,2,1
124167,4,2,1
93316,5,2,1
94224,4,2,1
160142,3,2,1
154651,7,2,1
142384,7,2,1
95161,2,2,1
140113,3,2,1
118046,7,2,1
138258,6,2,1
86962,4,2,1
148959,8,2,1
140364,3,2,1
68742,8,2,1
125433,2,2,1
97422,4,2,1
148906,3,2,1
158102,8,2,1
75634,3,2,1
1358,3,2,1
117824,5,2,1
118900,6,2,1
105235,4,2,1
130028,2,2,1
151582,2,2,1
69798,6,2,1
102682,6,2,1
144437,5,2,1
70287,5,2,1
147078,6,2,1
145588,3,2,1
105743,8,2,1
151919,8,2,1
74218,5,2,1
135258,4,2,1
119940,6,2,1
126818,7,2,1
147174,8,2,1
133592,5,2,1
64719,5,2,1
68600,3,2,1
121494,7,2,1
152163,6,2,1
155981,6,2,1
137033,4,2,1
54517,7,2,1
126769,6,2,1
144457,5,2,1
258119,2,2,1
136297,3,2,1
105482,6,2,1
140874,7,2,1
110259,4,2,1
125985,2,2,1
110611,3,2,1
140221,5,2,1
154979,4,2,1
134016,3,2,1
64121,8,2,1
86890,8,2,1
125637,2,2,1
55204,3,2,1
99147,4,2,1
125671,2,2,1
98877,4,2,1
70960,3,2,1
108029,3,2,1
123308,3,2,1
147935,7,2,1
1916,5,2,1
69961,2,2,1
151485,4,2,1
101413,5,2,1
131725,5,2,1
67848,6,2,1
95401,3,2,1
92792,3,2,1
149211,6,2,1
99179,5,2,1
155298,6,2,1
128262,5,2,1
74255,6,2,1
72796,8,2,1
59747,4,2,1
148915,5,2,1
55421,6,2,1
151729,5,2,1
106203,8,2,1
149698,4,2,1
140931,5,2,1
98338,3,2,1
119810,4,2,1
155598,6,2,1
258283,2,2,1
132908,7,2,1
126089,2,2,1
258296,5,2,1
156522,2,2,1
126795,2,2,1
98113,4,2,1
122579,4,2,1
142580,2,2,1
131068,3,2,1
131119,2,2,1
118339,5,2,1
152446,2,2,1
142542,4,2,1
151324,5,2,1
138022,8,2,1
104829,4,2,1
128831,4,2,1
112616,8,2,1
85602,7,2,1
138554,5,2,1
51880,7,2,1
136097,4,2,1
85883,8,2,1
109612,4,2,1
133464,2,2,1
128180,3,2,1
135979,2,2,1
60689,2,2,1
125127,8,2,1
96724,4,2,1
133443,5,2,2
142688,5,2,1
96432,2,2,1
21,5,2,1
57022,3,2,1
84869,8,2,1
116645,6,2,1
260021,4,2,1
58114,3,2,1
123131,6,2,1
127760,5,2,1
258405,4,2,1
124240,4,2,1
88256,5,2,1
114790,3,2,3
124968,4,2,1
103339,4,2,1
68965,5,2,1
70591,8,2,1
120172,8,2,1
107406,2,2,1
129572,7,2,1
141733,3,2,1
151234,4,2,1
119706,5,2,1
57636,4,2,1
144725,5,2,1
99425,6,2,1
125541,2,2,1
51473,8,2,1
94621,6,2,1
63206,7,2,1
139385,2,2,1
74715,7,2,1
138675,7,2,1
53979,3,2,1
1352,2,2,1
139853,8,2,1
128437,6,2,1
155371,5,2,1
257976,3,2,1
67912,6,2,1
258690,6,2,1
60105,5,2,1
107520,8,2,1
155568,5,2,1
156263,2,2,1
105306,8,2,1
67589,2,2,1
141742,5,2,1
136468,4,2,1
88951,7,2,1
146983,4,2,1
122745,2,2,1
268644,3,2,1
150278,3,2,1
85289,8,2,1
117059,3,2,1
57499,3,2,1
97465,6,2,1
258954,4,2,1
121979,2,2,1
149975,7,2,1
74960,4,2,1
117300,4,2,1
147003,2,2,1
145458,4,2,1
130791,7,2,1
111592,2,2,1
57940,2,2,1
153481,3,2,1
70997,5,2,1
131299,8,2,1
118036,5,2,1
136463,6,2,1
149299,6,2,1
135947,6,2,1
152755,7,2,1
151099,5,2,1
1617,8,2,1
144910,8,2,1
144202,4,2,1
112065,4,2,1
128869,7,2,1
129998,5,2,1
115706,6,2,1
54244,8,2,1
137820,3,2,1
210,3,2,1
148003,6,2,1
98121,4,2,1
57262,3,2,1
71948,3,2,1
108630,8,2,1
62166,5,2,1
87043,3,2,1
66971,6,3,1
130920,5,2,1
59523,3,2,1
65422,4,2,1
91258,3,2,1
102623,7,2,1
95943,2,2,1
127751,4,2,1
156229,2,2,8
64427,5,2,1
104212,7,2,1
75586,7,2,1
128895,3,2,1
122105,2,2,1
149511,4,2,1
152797,7,2,1
1763,8,2,1
97897,5,2,1
258580,3,2,1
101326,3,2,1
63358,3,2,1
153219,8,2,1
67471,5,2,1
127237,8,2,1
112336,3,2,1
55803,3,2,1
105283,8,2,1
88886,4,2,1
74740,3,2,1
125664,2,2,1
102572,3,2,1
104738,5,2,1
124952,3,2,1
136003,2,2,1
155319,5,2,1
57292,3,2,1
148188,8,2,1
68535,4,2,1
112419,3,2,1
63964,8,2,1
150371,5,2,1
140442,2,2,1
128999,7,2,1
257721,5,2,1
99908,8,2,1
103115,3,2,1
64428,5,2,1
147616,6,2,1
96853,7,2,1
151640,7,2,1
105277,7,2,1
64038,3,2,1
59318,2,2,8
122082,3,2,1
158148,4,2,1
99758,5,2,1
64089,5,2,1
150979,4,2,1
116267,2,2,1
67070,5,2,1
1778,2,2,1
117454,8,2,1
990,5,2,1
140987,6,2,1
60932,8,2,1
156103,3,2,1
52964,7,2,1
1025,5,2,1
102821,4,2,1
149637,5,2,1
117521,8,2,1
63224,8,2,1
494,2,2,1
145072,6,2,1
72068,4,2,1
143155,8,2,1
237,4,2,1
95339,8,2,1
259169,4,2,1
135705,5,2,1
69771,5,2,1
108219,5,2,1
129831,8,2,1
63235,2,2,1
268953,6,2,1
128326,3,2,1
60062,7,2,1
70183,7,2,1
1437,3,2,1
70010,3,2,1
66339,7,2,1
117238,8,2,1
87006,4,2,1
131553,7,2,1
130957,4,2,1
2334,2,2,1
154890,4,2,1
88405,5,2,4
92739,8,2,1
94346,7,2,1
114255,2,2,1
87211,2,2,1
119233,3,2,1
151133,2,2,1
148941,2,2,8
70129,6,2,1
112502,2,2,1
1817,3,2,1
138862,6,2,1
117202,3,2,1
